"","id","text"
"1",1739,"Agreement islamic republic afghanistan hizbeislami"
"2",1923,"Agreement two campaign teams regarding structure national unity government"
"3",864,"Tokyo declaration partnership selfreliance afghanistan transition transformation tokyo conference"
"4",848,"Conclusions conference afghanistan international community transition transformation decade bonn conference"
"5",849,"Istanbul process regional security cooperation secure stable afghanistan"
"6",709,"Renewed commitment afghan government afghan people international community afghanistan kabul conference communique"
"7",708,"The resolution adopted conclusion national consultative peace jirga"
"8",707,"Communique conference afghan leadership regional cooperation international partnership london conference communique"
"9",706,"Statement international conference afghanistan hague conference"
"10",847,"Declaration special conference afghanistan convened auspices shanghai cooperation organization moscow declaration"
"11",705,"Declaration international conference support afghanistan paris conference"
"12",1069,"Rome conference justice rule law afghanistan"
"13",1061,"Afghanistan compact building success london conference"
"14",1054,"Berlin declaration berlin conference"
"15",909,"Kabul declaration good neighbourly relations"
"16",908,"Communique international conference reconstruction assistance afghanistan tokyo conference"
"17",272,"Agreement provisional arrangements afghanistan pending reestablishment permanent government institutions bonn agreement"
"18",553,"Tashkent declaration fundamental principles peaceful settlement conflict afghanistan"
"19",409,"Afghan peace accord islamabad accord"
"20",482,"Peshawar accord"
"21",1070,"Joint declaration adopted pakafghan joint peace jirga"
"22",1595,"Project charte paix reconciliation nationale"
"23",1738,"Texts implementing acts relating restoration civil harmony"
"24",1737,"Civil harmony act"
"25",1255,"Plateforme lentente nationale"
"26",1044,"Plateforme solution politique pacifique crise algerienne plateforme rome"
"27",484,"Plateforme portant consensus national periode transitoire"
"28",978,"Luena memorandum understanding addendum lusaka protocol cessation hostilities resolution outstanding military issues lusaka protocol"
"29",305,"Angolan governments peace plan"
"30",299,"Agreement signed government republic angola unita renovada february annex ii agreement signed government republic angola unita renovada luanda protocol"
"31",300,"Agreement unitarenovada updating lusaka protocol concerning appointment unita cadres government positions annex iii agreement signed government republic angola unita renovada luanda protocol"
"32",301,"Agreement unitarenovada updating lusaka protocol concerning reinstatement government administration national territory luanda protocol"
"33",1,"Final timetable implementation lusaka protocol approved joint commission luanda january"
"34",439,"Lusaka protocol"
"35",1318,"Concepts resolving issues still pending government peoples republic angola unita bicesse accords"
"36",207,"Peace accords angola lisbon bicesse accords"
"37",1316,"Ceasefire agreement bicesse accords"
"38",1319,"The protocol estoril bicesse accords"
"39",1317,"Fundamental principles establishment peace angola bicesse accords"
"40",668,"Pact security stability development great lakes region"
"41",349,"Daressalaam declaration peace security democracy development great lakes region"
"42",789,"Peace security cooperation framework democratic republic congo region"
"43",1336,"Memorandum peace understanding cabinda province"
"44",1062,"Protocol nonaggression mutual defence great lakes region"
"45",423,"Joint declaration cooperation offshore activities south west atlantic"
"46",431,"Joint statement confidencebuilding measures including information consultation system safety measures air maritime navigation"
"47",1926,"Joint statement foreign ministers armenia azerbaijan cochairs osce minsk group"
"48",1687,"Joint statement presidents republic azerbaijan republic armenia russian federation nagornokarabakh settlement"
"49",1686,"Joint statement heads delegation osce minsk group cochair countries presidents azerbaijan armenia"
"50",1684,"Agreement strengthening ceasefire"
"51",1733,"Agreement confirmation commitment ceasefire"
"52",990,"Ceasefire agreement signed bishkek"
"53",310,"Bishkek protocol"
"54",1732,"Agreement implementation february protocol"
"55",1731,"Joint communique regarding results negotiations representatives azerbaijan nagornokarabakh leaderships"
"56",1730,"Agreement extend ceasefire period days"
"57",1729,"Agreement resumption ceasefire period days meeting leaders azerbajan nagornokarabakh"
"58",1728,"Agreement resumption ceasefire period days meeting leaders azerbaijan nagorno karabakh"
"59",1727,"Agreement extend ceasefire period days"
"60",1726,"Agreement extend ceasefire period days"
"61",1725,"Agreement meeting officials azerbaijan nagornokarabakh july"
"62",1724,"Agreement universal ceasefire period days"
"63",1723,"Agreement universal ceasefire period days"
"64",1722,"Agreement cessation hostilities area magadiz agdam"
"65",1721,"Agreement cessation shelling stepanakert agdam"
"66",1683,"Joint statement heads state tehran"
"67",1925,"Joint statement presidents azerbaijan armenia russia karabakh conflict settlement"
